"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_7rrfPeAboIjnHXo",3,"baseline","Any “clinic” including a wellness spa","Broad",21.058,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_7kxUUSppsBfCFyx",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",24.768,"A pet store","","No legal education or work experience","Progressive (most liberal)","An aquarium",0
"R_7fDbFgfa699DYKK",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",31.565,"At the campground","","No legal education or work experience","Lean Conservative","At the campground",1
"R_7R877lP0Fwqo51c",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",25.792,"Housing subsidy","","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_5drLLbD7qGGwTdI",3,"simple","Any “clinic” including a wellness spa","Broad",31.96,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_7qDuKiktiGoJ1RL",9,"phrasal","Any “sign” including a happy birthday banner","Broad",37.306,"HR","","No legal education or work experience","Conservative/Republican","IT",0
"R_1M3QMz3kVCwN2vK",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",44.458,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_7qguFAh5Pyv8KFU",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",28.535,"Orca","","Legal work experience but no law degree","Moderate/Centrist","Orca",1
"R_5uhIGnuzkLxvfvH",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",32.946,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_3w8lcmq98PwSMil",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",44.221,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_3j7bmgRw5qTHQzZ",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",25.081,"Nicholas","","No legal education or work experience","Lean Conservative","Nicholas",1
"R_1q4xPxiuMYFh8Rx",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",29.661,"Gun","","Some law-related coursework","Liberal/Democrat","Gun",1
"R_6NYURjfUJ4BqtEZ",10,"simple","Any “machine” including a small sewing machine","Broad",40.702,"Sewing machine","","No legal education or work experience","Right-wing (most conservative)","Sewing machine",1
"R_3y9seJ8SmS9WP2x",4,"simple","Any “relinquishment” including a temporary lease","Broad",35.081,"Power plant","","No legal education or work experience","Lean Liberal","Power plant",1
